city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
杭州,整租·春风江南府 3室2厅 南,整租,临平区,塘栖,春风江南府,129.93,3,2,1,南,中,18,自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,1980
杭州,合租·余庭 3居室 南卧,合租,临平区,临平新城,余庭,12.88,3,1,1,南,高,33,新上|公寓|月租|拎包入住|近地铁|精装|独立阳台|押一付一|随时看房,自如,今天维护,1090
杭州,整租·西溪华府 3室2厅 南/北,整租,西湖区,西溪,西溪华府,139.0,3,2,2,南 北,低,11,双卫生间,链家,2天前维护,6800
杭州,整租·CBC时代大观 1室1厅 南,整租,临平区,临平新城,CBC时代大观,38.44,1,1,1,南,中,23,自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,1500
杭州,合租·仁苑 2居室 北卧,合租,滨江区,长河,仁苑,70.0,2,1,1,北,中,23,近地铁,,,3800
杭州,整租·裕园公寓 2室1厅 南,整租,钱塘区,高教园区西,裕园公寓,67.3,2,1,1,南,高,7,自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,2300
杭州,整租·领骏世界 1室1厅 西,整租,拱墅区,朝晖,领骏世界,46.75,1,1,2,西,高,20,新上|精装|押一付一|双卫生间|随时看房|首次出租,,今天维护,3200
杭州,整租·天鸿香榭里 4室1厅 南,整租,拱墅区,万达广场,天鸿香榭里,89.0,4,1,2,南,低,24,新上|双卫生间|随时看房,,,4000
杭州,整租·夕照新村 2室1厅 南,整租,上城区,四季青,夕照新村,47.7,2,1,1,南,高,6,自营|新上|近地铁|押一付一|随时看房|首次出租,贝壳优选,今天维护,2940
杭州,整租·德意中兴广场 4室2厅 南,整租,萧山区,萧山新城区,德意中兴广场,149.0,4,2,2,南,高,30,近地铁|精装|双卫生间|随时看房,,2天前维护,5800
杭州,合租·丽晶国际 4居室 南卧,合租,萧山区,钱江世纪城,丽晶国际,50.0,4,0,1,南,高,39,近地铁,,,2200
杭州,整租·中粮方圆金街 1室1厅 南,整租,拱墅区,三塘,中粮方圆金街,46.61,1,1,1,南,中,17,自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,2100
杭州,合租·丰瑞北苑 4居室 南卧,合租,萧山区,钱江世纪城,丰瑞北苑,30.0,4,1,1,南,低,33,,,4天前维护,2200
杭州,合租·丰瑞北苑 4居室 南卧,合租,萧山区,钱江世纪城,丰瑞北苑,30.0,4,1,1,南,低,33,,,2天前维护,2300
杭州,合租·丰瑞北苑 4居室 南卧,合租,萧山区,钱江世纪城,丰瑞北苑,30.0,4,1,1,南,低,33,,,2天前维护,2300
杭州,整租·众安绿城南湖明月 4室2厅 南,整租,余杭区,老余杭,众安绿城南湖明月,133.0,4,2,2,南,低,33,精装|双卫生间,,2天前维护,4400
杭州,整租·广宇锦绣桃源 3室2厅 南,整租,拱墅区,半山,广宇锦绣桃源,87.29,3,2,2,南,高,30,新上|精装|押一付一|双卫生间|随时看房|首次出租,,今天维护,3800
杭州,整租·光明右岸澜庭 3室2厅 东南,整租,萧山区,南部卧城,光明右岸澜庭,87.56,3,2,2,东南,高,30,自营|新上|精装|押一付一|双卫生间|随时看房|首次出租,贝壳优选,今天维护,3850
杭州,整租·爵士风情花园 3室1厅 南,整租,余杭区,闲林,爵士风情花园,117.41,3,1,1,南,中,5,自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,2800
杭州,整租·云河大厦 1室0厅 南,整租,拱墅区,信义坊,云河大厦,29.74,1,0,1,南,高,19,新上|押一付一|随时看房|首次出租,,今天维护,1800
杭州,整租·铭鹤花园 2室1厅 南,整租,富阳区,银湖科技城,铭鹤花园,88.09,2,1,2,南,低,7,自营|新上|精装|押一付一|双卫生间|随时看房|首次出租,贝壳优选,今天维护,2000
杭州,整租·春风燕语 5室2厅 南,整租,临安区,青山湖科技城,春风燕语,191.0,5,2,4,南,低,1,,,3天前维护,5000
